,Links,job description
141,https://www.naukri.com/job-listings-Business-Development-Manager-SNS-Systems-Chennai-Hyderabad-0-to-5-years-150218000880?src=jobsearchDesk&sid=15208652288458&xp=42&px=1,"['Business Development Management', 'marketing management']"
142,https://www.naukri.com/job-listings-Business-Development-Manager-Tring-Telecom-Private-Limited-Chennai-2-to-3-years-070318005574?src=jobsearchDesk&sid=15208652288458&xp=43&px=1,"['business development management', 'software marketing', 'sales marketing software']"
143,https://www.naukri.com/job-listings-Business-Development-Manager-SREE-SASTHA-INSTITUTIONS-Chennai-Ramapuram-7-5-to-7-years-141017003313?src=jobsearchDesk&sid=15208652288458&xp=44&px=1,"['college', 'business development']"
144,https://www.naukri.com/job-listings-Business-Development-Manager-Kapgrow-Corporate-Advisory-Services-Pvt-Ltd-Mumbai-Lucknow-Chennai-2-to-7-years-060318002306?src=jobsearchDesk&sid=15208652288458&xp=45&px=1,['government sales']
145,https://www.naukri.com/job-listings-Business-Development-Manager-JLP-Group-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-0-to-3-years-070318006227?src=jobsearchDesk&sid=15208652288458&xp=46&px=1,"['sales', 'market research', 'business research', 'business intelligence', 'bd', 'business development', 'bdm', 'bde', 'marketing', 'corporate sales', 'institutional sales', 'team management', 'channel sales', 'distribution']"
146,https://www.naukri.com/job-listings-Analytics-Business-Intelligence-Business-Development-Manager-AJAX-Consulting-Chennai-Taramani-4-to-9-years-210218008667?src=jobsearchDesk&sid=15208652288458&xp=47&px=1,"['client engagement', 'business intelligence', 'analytics', 'business development manager', 'sales manager']"
147,https://www.naukri.com/job-listings-Sr-Manager-Marketing-Business-Development-Sriperumbur-chennai-Shriniwas-Placement-Consultants-Chennai-10-to-20-years-050318001821?src=jobsearchDesk&sid=15208652288458&xp=48&px=1,"['sales & Marketing', 'Business Development']"
148,https://www.naukri.com/job-listings-Immediate-Opening-for-Client-Relation-business-Development-Manager-NI-CONSULTING-SERVICES-PVT-LTD-Chennai-Teynampet-2-to-6-years-070318001105?src=jobsearchDesk&sid=15208652288458&xp=49&px=1,"['business development management', 'Client Servicing', 'Client Acquisition', 'Client Relationship Management']"
149,https://www.naukri.com/job-listings-Business-Development-Manager-leading-Electronics-in-Chennai-Flex-i-Partners-Chennai-4-to-9-years-060318007810?src=jobsearchDesk&sid=15208652288458&xp=50&px=1,"['Business Development Management', 'Sales', 'business development', 'bdm', 'bd', 'bde']"
150,https://www.naukri.com/job-listings-Uregent-Opening-for-Business-Development-Manager-staffing-Sales-baner-Survik-Software-Pvt-Ltd-Pune-Baner-6-to-11-years-120318004417?src=jobsearchDesk&sid=15208652352219&xp=1&px=1,"['business development management', 'business generation', 'Lead Generation', 'Client Acquisition', 'client servicing']"
