,Unnamed: 0,City,Job title,Company name,Location,Salary,Links,business skills
35,36,Toronto,Administrative Manager,CIMT College,"Mississauga, ON",$41 an hour,http://www.indeed.ca/company/CIMT-College/jobs/Administrative-Manager-e5538bcbe0464a2c?fccid=a46fd90d47ca2209&vjs=3,compliance finance written_communication excel operations travel
36,37,Toronto,"Business Analysis Specialist - Portfolio Manager, TD Wealth",TD Bank,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=e3b7cb4d9c7a0acb&fccid=d7114f1cac8d0711&vjs=3,team_building strategy life_cycle sales_support delivery primary relationship sales leadership_skills communication_skills presentation_skills portfolio_management policies financial_services excel presentation sme options relationship_management business_strategy operations recruitment
37,38,Toronto,"Manager, Fair Wage & Labour Office",City of Toronto,"Toronto, ON","$109,600 - $128,765 a year",http://www.indeed.ca/rc/clk?jk=7557207aafab69fc&fccid=f2087b51205d4920&vjs=3,legal compliance ca business_operations customer_service accounting construction policies medical negotiation senior_management financial_analysis hiring operations
38,39,Toronto,Process Manager – Business Transformation Office,Moneris,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=19180e099e50efec&fccid=3308ce641126a211&vjs=3,customer_experience consulting project_management presentation_skills ms_office six_sigma continuous_improvement process_improvement excel presentation analytical requirement_gathering user_experience data_analysis operations
39,40,Toronto,Business Office Manager,Signature Retirement Living,"Burlington, ON",no salary info,http://www.indeed.ca/rc/clk?jk=9295e1d5b3a3513e&fccid=368707cf8703bc7a&vjs=3,communication_skills customer_service” accounting hiring
40,41,Toronto,"Manager, Finance",Loblaw,"Brampton, ON",no salary info,http://www.indeed.ca/rc/clk?jk=0989137d4edad7d3&fccid=bc30630cfcc120d4&vjs=3,retail market budgeting forecasting ca project_management finance accounting business_analysis process_improvement excel recruitment
41,42,Toronto,Finance Manager,Constellation Brands,"Mississauga, ON",no salary info,http://www.indeed.ca/rc/clk?jk=00d54d2b8babdb29&fccid=9364b6a9cf775ff6&vjs=3,marketing compliance budgeting operations_planning sales communication_skills forecasting selling finance accounting excel finance_manager analytical verbal_communication operations
42,43,Toronto,Business Travel Program Manager,WestJet,"Toronto, ON",no salary info,http://www.indeed.ca/rc/clk?jk=448d447b3fe777b7&fccid=f18c1d5f3c78c7ca&vjs=3,bdm’ strategy market marketing budgeting sales forecasting ca business_planning project_management key_account_management account_management events agency_sales key_account negotiation marketing_programs equity travel hotel
43,44,Toronto,Senior Financial Analyst,City of Toronto,"Toronto, ON","$94,422 - $110,929 a year",http://www.indeed.ca/rc/clk?jk=6f574aec96ae09e5&fccid=f2087b51205d4920&vjs=3,retail compliance commodity sales financial_reporting communication_skills ca customer_service finance written_communication accounting policies medical retail_sales senior_management dealing interpersonal_skills excel analytical hiring recruitment
44,45,Toronto,Operations Manager / Business Manager,Business Development Centre,"Toronto, ON",no salary info,http://www.indeed.ca/company/BUSINESS-DEVELOPMENT-CENTRE/jobs/Operation-Manager-b6fac1bb6d91b931?fccid=5037a43a76163fab&vjs=3,legal marketing sales communication_skills accounting business_development business_management
